Address;USB0::0x2A8D::0x5101::MY58001617::0::INSTR;;;;;;;;;;;;;;;;;;;;
Model;DAQ970A;;;;;;;;;;;;;;;;;;;;
Serial Number:;MY58001617;;;;;;;;;;;;;;;;;;;;
Firmware Version;A.01.03-01.00-01.03-00.02-01.00-03-02;;;;;;;;;;;;;;;;;;;;
Start Time;40:31,6;;;;;;;;;;;;;;;;;;;;
Stop Time;44:31,6;;;;;;;;;;;;;;;;;;;;
Data Log Stopped;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Scan Sweep Time (Sec);Scan Number;101 (°C)- S01;102 (°C)- S02;103 (°C)- S03;104 (°C)- S04;105 (°C)- S05;106 (°C)- S06 DRENO;107 (°C)- S07;108 (°C)- S08;109 (°C)- S09;110 (°C)- S10;111 (°C)- S11;112 (°C)- S12;113 (°C)- S13;114 (°C)- S14;115 (°C)- S15;116 (°C)- S16;401 (°C)- Temperatura Minima;402 (°C)- Temperatura Maxima;403- Temperatura Media;404- Desvio Padrao
2020-02-21 13:40:31,610;1;74,187182;50,8724917;44,8936223;65,3531924;72,1259919;67,360376;72,258206;83,8386412;48,8143255;80,5600319;73,4342907;78,7986404;76,0557331;46,2446328;66,5268094;78,7346967;44,8936223;83,8386412;67,503679;12,8649679
2020-02-21 13:41:31,610;2;82,1879501;68,6754297;64,2791867;75,1957143;78,8066315;67,7175456;79,5107539;89,5160119;67,7296164;87,7288489;80,8235891;81,9290573;83,6667982;64,0994675;74,6188507;86,1369364;64,0994675;89,5160119;77,0388993;8,38106201
2020-02-21 13:42:31,648;3;90,6255539;80,31298;75,0376346;82,585226;86,2361529;77,1065466;87,0380695;95,2201105;79,2684672;95,733621;88,0356474;84,521363;91,8190268;75,5690775;82,3641914;92,3297628;75,0376346;95,733621;85,2377144;6,75203415
2020-02-21 13:43:31,618;4;93,5478646;86,0573657;85,0066118;86,4276458;89,5312592;81,9127329;89,9133646;97,2510516;86,117233;96,3042657;90,3573557;86,8577593;94,13255;87,4193365;87,8113886;92,1913832;81,9127329;97,2510516;89,427448;4,29683728
2020-02-21 13:44:31,613;5;101,754029;100,057245;100,001887;99,8939848;100,107011;96,9283076;100,493591;104,988484;100,282852;102,265558;101,036765;99,9856075;102,140435;100,83654;100,26663;102,564777;96,9283076;104,988484;100,850231;1,71888479
2020-02-21 13:45:31,627;6;104,895374;100,71951;100,893767;100,700731;101,191111;101,033366;101,913912;107,588733;100,939641;105,601149;101,91178;101,17436;104,47846;101,070216;101,282281;105,019039;100,700731;107,588733;102,525839;2,20241827
2020-02-21 13:46:31,611;7;106,856265;101,949794;101,952965;101,787642;102,942737;103,243003;103,833676;109,061781;102,324029;105,963643;103,408747;102,379949;105,802259;102,159315;102,909995;106,313007;101,787642;109,061781;103,93055;2,18361676
2020-02-21 13:47:31,611;8;107,826637;102,848711;102,453958;102,324553;104,641003;104,27769;105,213071;109,980822;102,971945;106,857518;104,9388;102,75747;106,591691;102,594799;104,184142;107,459519;102,324553;109,980822;104,870146;2,29670006
2020-02-21 13:48:31,610;9;108,488012;103,617275;102,552418;102,511932;105,635825;104,410693;105,765515;110,527413;103,28181;107,359211;105,867143;102,830912;107,08209;102,680192;104,963536;108,682581;102,511932;110,527413;105,391035;2,48940286
2020-02-21 13:49:31,663;10;108,813937;104,226189;102,72904;102,829573;106,227867;104,830174;106,306915;110,939053;103,652223;107,769233;106,399101;102,917973;107,445193;102,787861;105,335734;109,286869;102,72904;110,939053;105,781058;2,56786448
2020-02-21 13:50:31,610;11;108,986897;104,649377;102,910988;103,276582;106,494758;105,19315;106,608922;111,179359;103,906492;108,030777;106,631385;102,959512;107,549921;102,903777;105,470804;109,530929;102,903777;111,179359;106,017727;2,56487125
2020-02-21 13:51:31,610;12;109,200902;105,050567;103,223667;103,779152;106,791189;105,532754;106,754074;111,2973;104,190229;108,326302;106,781676;103,069406;107,836865;103,472369;105,644112;109,217028;103,069406;111,2973;106,260475;2,45358793
2020-02-21 13:52:31,647;13;109,313806;105,354532;103,589066;104,148883;107,072545;105,833134;107,018964;111,516815;104,402912;108,489146;106,962917;103,10639;108,132367;103,724499;105,756868;109,495886;103,10639;111,516815;106,494921;2,44160778
2020-02-21 13:53:31,620;14;109,628914;105,594462;104,034505;104,433668;107,166842;106,048516;107,180569;111,810161;104,483761;108,647642;107,285591;103,170073;108,24534;103,981062;105,979203;110,181637;103,170073;111,810161;106,741997;2,48905729
2020-02-21 13:54:31,610;15;109,830097;105,848455;104,523547;104,666535;107,344223;106,164138;107,379737;112,04068;104,613267;108,892922;107,503034;103,30784;108,670878;104,365116;106,21841;110,48607;103,30784;112,04068;106,990934;2,4892386
2020-02-21 13:55:31,683;16;110,7413;106,937292;106,333903;106,262771;108,169812;107,688367;108,945046;113,267092;107,234857;110,330191;109,495129;106,737235;110,042715;107,310202;107,730695;112,342264;106,262771;113,267092;108,723055;2,13316392
2020-02-21 13:56:31,620;17;113,329407;111,044991;111,164788;111,011776;111,365277;111,194652;112,538255;115,579195;111,639695;114,016512;112,626528;111,424268;113,274517;111,367782;111,454751;114,946086;111,011776;115,579195;112,373655;1,46497811
2020-02-21 13:57:31,612;18;115,223299;113,873154;113,986437;113,825234;113,93545;113,970154;114,792167;116,788165;114,319275;115,981569;114,889295;114,218985;115,383151;114,097468;114,113201;116,657915;113,825234;116,788165;114,753432;0,991108762
2020-02-21 13:58:31,610;19;117,102986;116,630433;116,753397;116,596716;116,607852;116,73052;117,087559;118,084712;117,183203;117,596891;117,42353;117,171545;117,681085;117,25816;117,212698;118,405016;116,596716;118,405016;117,220394;0,526156415
2020-02-21 13:59:31,610;20;118,675874;117,83906;117,979641;117,799971;117,915236;117,959761;118,48692;119,467087;118,17456;119,302233;118,556532;118,138959;118,774816;118,018677;117,99633;119,52409;117,799971;119,52409;118,413109;0,587066055
2020-02-21 14:00:31,610;21;119,517732;117,975429;118,106213;117,92872;118,174809;118,177394;118,903544;120,377827;118,329579;120,30107;118,846646;118,270211;119,583936;118,155379;118,153683;120,231909;117,92872;120,377827;118,81463;0,893174312
